M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9112,-0.7851,4.251e-01
0.92,0.90,1.9614,-0.4880,4.251e-01
0.94,0.90,1.9642,-0.5020,4.253e-01
0.96,0.90,1.9587,-0.4889,4.254e-01
0.98,0.90,1.9517,-0.4733,4.256e-01
1.00,0.90,1.9435,-0.4557,4.259e-01
1.02,0.90,1.9340,-0.4366,4.262e-01
1.04,0.90,1.9233,-0.4167,4.265e-01
1.06,0.90,1.9116,-0.3962,4.269e-01
1.08,0.90,1.8989,-0.3757,4.274e-01
1.10,0.90,1.8853,-0.3554,4.278e-01
1.12,0.90,1.8710,-0.3355,4.284e-01
1.14,0.90,1.8559,-0.3162,4.289e-01
1.16,0.90,1.8401,-0.2976,4.296e-01
1.18,0.90,1.8238,-0.2797,4.302e-01
1.20,0.90,1.8069,-0.2628,4.309e-01
1.22,0.90,1.7897,-0.2466,4.317e-01
1.24,0.90,1.7720,-0.2313,4.325e-01
1.26,0.90,1.7540,-0.2169,4.334e-01
1.28,0.90,1.7357,-0.2033,4.343e-01
1.30,0.90,1.7172,-0.1904,4.352e-01
1.32,0.90,1.6811,-0.1451,4.362e-01
1.34,0.90,1.6849,-0.2306,4.373e-01
1.36,0.90,1.5200,-0.4631,4.384e-01
1.38,0.90,1.8865,-0.8942,4.396e-01
1.40,0.90,2.0394,-0.7532,4.408e-01
1.42,0.90,2.0397,-0.7541,4.421e-01
1.44,0.90,2.0401,-0.7550,4.435e-01
1.46,0.90,2.0405,-0.7560,4.449e-01
1.48,0.90,2.0409,-0.7570,4.463e-01
1.50,0.90,2.0413,-0.7580,4.479e-01
1.52,0.90,2.0418,-0.7591,4.495e-01
1.54,0.90,2.0422,-0.7602,4.511e-01
1.56,0.90,2.0427,-0.7613,4.529e-01
1.58,0.90,2.0432,-0.7625,4.547e-01
1.60,0.90,2.0437,-0.7638,4.565e-01
1.62,0.90,2.0442,-0.7651,4.585e-01
1.64,0.90,2.0447,-0.7664,4.605e-01
1.66,0.90,2.0452,-0.7678,4.626e-01
1.68,0.90,2.0458,-0.7692,4.647e-01
1.70,0.90,2.0464,-0.7707,4.670e-01
1.72,0.90,2.0470,-0.7722,4.693e-01
1.74,0.90,2.0476,-0.7737,4.717e-01
1.76,0.90,2.0482,-0.7753,4.742e-01
1.78,0.90,2.0488,-0.7770,4.767e-01
1.80,0.90,2.0495,-0.7787,4.794e-01
1.82,0.90,2.0502,-0.7804,4.821e-01
1.84,0.90,2.0508,-0.7822,4.849e-01
1.86,0.90,2.0515,-0.7841,4.878e-01
1.88,0.90,2.0522,-0.7860,4.908e-01
1.90,0.90,2.0530,-0.7879,4.939e-01
1.92,0.90,2.0537,-0.7899,4.971e-01
1.94,0.90,2.0545,-0.7920,5.004e-01
1.96,0.90,2.0552,-0.7941,5.038e-01
1.98,0.90,2.0560,-0.7962,5.073e-01
2.00,0.90,2.0568,-0.7985,5.109e-01
2.02,0.90,2.0576,-0.8007,5.146e-01
2.04,0.90,2.0585,-0.8030,5.185e-01
2.06,0.90,2.0593,-0.8054,5.224e-01
2.08,0.90,2.0601,-0.8078,5.264e-01
2.10,0.90,2.0610,-0.8103,5.306e-01
2.12,0.90,2.0619,-0.8129,5.348e-01
2.14,0.90,2.0628,-0.8154,5.392e-01
2.16,0.90,2.0637,-0.8181,5.437e-01
2.18,0.90,2.0646,-0.8208,5.484e-01
2.20,0.90,2.0655,-0.8236,5.531e-01
2.22,0.90,2.0664,-0.8264,5.580e-01
2.24,0.90,2.0674,-0.8293,5.631e-01
2.26,0.90,2.0683,-0.8322,5.682e-01
2.28,0.90,2.0693,-0.8352,5.735e-01
2.30,0.90,2.0703,-0.8382,5.790e-01
2.32,0.90,2.0713,-0.8414,5.846e-01
2.34,0.90,2.0723,-0.8445,5.903e-01
2.36,0.90,2.0733,-0.8478,5.962e-01
2.38,0.90,2.0743,-0.8511,6.023e-01
2.40,0.90,2.0753,-0.8545,6.086e-01
2.42,0.90,2.0764,-0.8580,6.152e-01
0.92,0.92,1.9557,-0.4381,4.138e-01
0.94,0.92,1.9692,-0.4451,4.138e-01
0.96,0.92,1.9595,-0.4908,4.139e-01
0.98,0.92,1.9540,-0.4784,4.141e-01
1.00,0.92,1.9472,-0.4634,4.143e-01
1.02,0.92,1.9390,-0.4465,4.146e-01
1.04,0.92,1.9296,-0.4282,4.149e-01
1.06,0.92,1.9190,-0.4089,4.152e-01
1.08,0.92,1.9073,-0.3891,4.156e-01
1.10,0.92,1.8947,-0.3693,4.160e-01
1.12,0.92,1.8812,-0.3495,4.165e-01
1.14,0.92,1.8669,-0.3301,4.170e-01
1.16,0.92,1.8519,-0.3113,4.175e-01
1.18,0.92,1.8362,-0.2932,4.181e-01
1.20,0.92,1.8199,-0.2757,4.188e-01
1.22,0.92,1.8032,-0.2591,4.195e-01
1.24,0.92,1.7860,-0.2433,4.202e-01
1.26,0.92,1.7684,-0.2283,4.210e-01
1.28,0.92,1.7505,-0.2142,4.219e-01
1.30,0.92,1.7323,-0.2008,4.227e-01
1.32,0.92,1.6999,-0.1493,4.237e-01
1.34,0.92,1.6462,-0.2832,4.247e-01
1.36,0.92,1.6450,-0.0588,4.257e-01
1.38,0.92,1.5901,-1.1707,4.268e-01
1.40,0.92,2.0391,-0.7525,4.279e-01
1.42,0.92,2.0394,-0.7534,4.291e-01
1.44,0.92,2.0398,-0.7543,4.304e-01
1.46,0.92,2.0402,-0.7552,4.317e-01
1.48,0.92,2.0405,-0.7561,4.331e-01
1.50,0.92,2.0410,-0.7571,4.345e-01
1.52,0.92,2.0414,-0.7581,4.360e-01
1.54,0.92,2.0418,-0.7592,4.376e-01
1.56,0.92,2.0423,-0.7603,4.392e-01
1.58,0.92,2.0427,-0.7615,4.409e-01
1.60,0.92,2.0432,-0.7627,4.426e-01
1.62,0.92,2.0437,-0.7639,4.444e-01
1.64,0.92,2.0442,-0.7652,4.463e-01
1.66,0.92,2.0448,-0.7665,4.483e-01
1.68,0.92,2.0453,-0.7679,4.503e-01
1.70,0.92,2.0459,-0.7693,4.524e-01
1.72,0.92,2.0464,-0.7708,4.546e-01
1.74,0.92,2.0470,-0.7723,4.568e-01
1.76,0.92,2.0476,-0.7738,4.592e-01
1.78,0.92,2.0482,-0.7754,4.616e-01
1.80,0.92,2.0489,-0.7771,4.641e-01
1.82,0.92,2.0495,-0.7788,4.666e-01
1.84,0.92,2.0502,-0.7805,4.693e-01
1.86,0.92,2.0509,-0.7823,4.720e-01
1.88,0.92,2.0516,-0.7842,4.748e-01
1.90,0.92,2.0523,-0.7861,4.778e-01
1.92,0.92,2.0530,-0.7880,4.808e-01
1.94,0.92,2.0537,-0.7900,4.839e-01
1.96,0.92,2.0545,-0.7920,4.871e-01
1.98,0.92,2.0553,-0.7941,4.903e-01
2.00,0.92,2.0560,-0.7963,4.937e-01
2.02,0.92,2.0568,-0.7985,4.972e-01
2.04,0.92,2.0576,-0.8007,5.008e-01
2.06,0.92,2.0585,-0.8030,5.045e-01
2.08,0.92,2.0593,-0.8054,5.083e-01
2.10,0.92,2.0601,-0.8078,5.122e-01
2.12,0.92,2.0610,-0.8103,5.162e-01
2.14,0.92,2.0619,-0.8128,5.204e-01
2.16,0.92,2.0627,-0.8154,5.246e-01
2.18,0.92,2.0636,-0.8180,5.290e-01
2.20,0.92,2.0645,-0.8207,5.335e-01
2.22,0.92,2.0655,-0.8235,5.381e-01
2.24,0.92,2.0664,-0.8263,5.428e-01
2.26,0.92,2.0673,-0.8291,5.477e-01
2.28,0.92,2.0683,-0.8320,5.527e-01
2.30,0.92,2.0692,-0.8350,5.578e-01
2.32,0.92,2.0702,-0.8381,5.631e-01
2.34,0.92,2.0712,-0.8412,5.685e-01
2.36,0.92,2.0722,-0.8443,5.740e-01
2.38,0.92,2.0732,-0.8476,5.798e-01
2.40,0.92,2.0742,-0.8509,5.857e-01
2.42,0.92,2.0753,-0.8543,5.919e-01
0.94,0.94,1.9935,-0.2861,4.020e-01
0.96,0.94,1.9602,-0.4579,4.021e-01
0.98,0.94,1.9546,-0.4798,4.022e-01
1.00,0.94,1.9493,-0.4679,4.024e-01
1.02,0.94,1.9425,-0.4536,4.026e-01
1.04,0.94,1.9344,-0.4373,4.028e-01
1.06,0.94,1.9250,-0.4197,4.031e-01
1.08,0.94,1.9145,-0.4010,4.034e-01
1.10,0.94,1.9029,-0.3819,4.038e-01
1.12,0.94,1.8903,-0.3626,4.042e-01
1.14,0.94,1.8768,-0.3434,4.047e-01
1.16,0.94,1.8626,-0.3246,4.052e-01
1.18,0.94,1.8476,-0.3062,4.057e-01
1.20,0.94,1.8320,-0.2885,4.063e-01
1.22,0.94,1.8158,-0.2715,4.070e-01
1.24,0.94,1.7990,-0.2552,4.076e-01
1.26,0.94,1.7819,-0.2397,4.084e-01
1.28,0.94,1.7644,-0.2251,4.091e-01
1.30,0.94,1.7465,-0.2112,4.100e-01
1.32,0.94,1.7158,-0.1579,4.108e-01
1.34,0.94,1.6621,-0.2366,4.117e-01
1.36,0.94,1.7752,0.1673,4.127e-01
1.38,0.94,1.4657,-1.0938,4.137e-01
1.40,0.94,2.0287,-0.7599,4.148e-01
1.42,0.94,2.0391,-0.7527,4.159e-01
1.44,0.94,2.0395,-0.7535,4.171e-01
1.46,0.94,2.0398,-0.7544,4.183e-01
1.48,0.94,2.0402,-0.7553,4.196e-01
1.50,0.94,2.0406,-0.7563,4.209e-01
1.52,0.94,2.0410,-0.7573,4.223e-01
1.54,0.94,2.0414,-0.7583,4.238e-01
1.56,0.94,2.0419,-0.7594,4.253e-01
1.58,0.94,2.0423,-0.7605,4.269e-01
1.60,0.94,2.0428,-0.7617,4.285e-01
1.62,0.94,2.0433,-0.7629,4.302e-01
1.64,0.94,2.0438,-0.7641,4.320e-01
1.66,0.94,2.0443,-0.7654,4.338e-01
1.68,0.94,2.0448,-0.7667,4.357e-01
1.70,0.94,2.0454,-0.7681,4.377e-01
1.72,0.94,2.0459,-0.7695,4.397e-01
1.74,0.94,2.0465,-0.7710,4.418e-01
1.76,0.94,2.0471,-0.7725,4.440e-01
1.78,0.94,2.0477,-0.7740,4.463e-01
1.80,0.94,2.0483,-0.7756,4.486e-01
1.82,0.94,2.0490,-0.7773,4.510e-01
1.84,0.94,2.0496,-0.7790,4.535e-01
1.86,0.94,2.0503,-0.7807,4.561e-01
1.88,0.94,2.0509,-0.7825,4.588e-01
1.90,0.94,2.0516,-0.7844,4.615e-01
1.92,0.94,2.0524,-0.7862,4.644e-01
1.94,0.94,2.0531,-0.7882,4.673e-01
1.96,0.94,2.0538,-0.7902,4.703e-01
1.98,0.94,2.0546,-0.7922,4.734e-01
2.00,0.94,2.0553,-0.7943,4.766e-01
2.02,0.94,2.0561,-0.7965,4.799e-01
2.04,0.94,2.0569,-0.7986,4.832e-01
2.06,0.94,2.0577,-0.8009,4.867e-01
2.08,0.94,2.0585,-0.8032,4.903e-01
2.10,0.94,2.0593,-0.8055,4.940e-01
2.12,0.94,2.0602,-0.8080,4.978e-01
2.14,0.94,2.0610,-0.8104,5.017e-01
2.16,0.94,2.0619,-0.8129,5.057e-01
2.18,0.94,2.0628,-0.8155,5.098e-01
2.20,0.94,2.0637,-0.8181,5.140e-01
2.22,0.94,2.0646,-0.8208,5.183e-01
2.24,0.94,2.0655,-0.8235,5.228e-01
2.26,0.94,2.0664,-0.8263,5.274e-01
2.28,0.94,2.0674,-0.8292,5.321e-01
2.30,0.94,2.0683,-0.8321,5.369e-01
2.32,0.94,2.0693,-0.8351,5.419e-01
2.34,0.94,2.0702,-0.8381,5.470e-01
2.36,0.94,2.0712,-0.8412,5.523e-01
2.38,0.94,2.0730,-0.8469,5.468e-01
2.40,0.94,2.1238,-0.8252,4.471e-01
2.42,0.94,2.1689,-0.8090,3.834e-01
0.96,0.96,1.9977,-0.3423,3.900e-01
0.98,0.96,1.9516,-0.4567,3.900e-01
1.00,0.96,1.9497,-0.4688,3.901e-01
1.02,0.96,1.9444,-0.4575,3.903e-01
1.04,0.96,1.9376,-0.4438,3.905e-01
1.06,0.96,1.9295,-0.4281,3.907e-01
1.08,0.96,1.9202,-0.4111,3.910e-01
1.10,0.96,1.9097,-0.3931,3.913e-01
1.12,0.96,1.8982,-0.3745,3.917e-01
1.14,0.96,1.8856,-0.3558,3.921e-01
1.16,0.96,1.8722,-0.3371,3.925e-01
1.18,0.96,1.8580,-0.3188,3.930e-01
1.20,0.96,1.8430,-0.3009,3.936e-01
1.22,0.96,1.8274,-0.2836,3.941e-01
1.24,0.96,1.8112,-0.2670,3.948e-01
1.26,0.96,1.7945,-0.2511,3.954e-01
1.28,0.96,1.7774,-0.2359,3.961e-01
1.30,0.96,1.7599,-0.2215,3.969e-01
1.32,0.96,1.7297,-0.1689,3.977e-01
1.34,0.96,1.6955,-0.1795,3.985e-01
1.36,0.96,1.8537,0.2029,3.994e-01
1.38,0.96,1.5011,-0.7830,4.004e-01
1.40,0.96,1.8201,-0.9589,4.014e-01
1.42,0.96,2.0389,-0.7521,4.024e-01
1.44,0.96,2.0392,-0.7529,4.035e-01
1.46,0.96,2.0396,-0.7537,4.046e-01
1.48,0.96,2.0399,-0.7546,4.058e-01
1.50,0.96,2.0403,-0.7555,4.071e-01
1.52,0.96,2.0407,-0.7565,4.084e-01
1.54,0.96,2.0411,-0.7575,4.098e-01
1.56,0.96,2.0415,-0.7585,4.112e-01
1.58,0.96,2.0420,-0.7596,4.127e-01
1.60,0.96,2.0424,-0.7607,4.142e-01
1.62,0.96,2.0429,-0.7619,4.158e-01
1.64,0.96,2.0434,-0.7631,4.175e-01
1.66,0.96,2.0439,-0.7644,4.192e-01
1.68,0.96,2.0444,-0.7656,4.210e-01
1.70,0.96,2.0449,-0.7670,4.228e-01
1.72,0.96,2.0455,-0.7684,4.247e-01
1.74,0.96,2.0460,-0.7698,4.267e-01
1.76,0.96,2.0466,-0.7712,4.288e-01
1.78,0.96,2.0472,-0.7728,4.309e-01
1.80,0.96,2.0478,-0.7743,4.331e-01
1.82,0.96,2.0484,-0.7759,4.354e-01
1.84,0.96,2.0491,-0.7776,4.377e-01
1.86,0.96,2.0497,-0.7793,4.402e-01
1.88,0.96,2.0504,-0.7810,4.427e-01
1.90,0.96,2.0511,-0.7828,4.452e-01
1.92,0.96,2.0518,-0.7846,4.479e-01
1.94,0.96,2.0525,-0.7865,4.507e-01
1.96,0.96,2.0532,-0.7885,4.535e-01
1.98,0.96,2.0539,-0.7905,4.564e-01
2.00,0.96,2.0547,-0.7925,4.594e-01
2.02,0.96,2.0554,-0.7946,4.625e-01
2.04,0.96,2.0562,-0.7968,4.657e-01
2.06,0.96,2.0570,-0.7989,4.690e-01
2.08,0.96,2.0578,-0.8012,4.724e-01
2.10,0.96,2.0586,-0.8035,4.758e-01
2.12,0.96,2.0594,-0.8058,4.794e-01
2.14,0.96,2.0603,-0.8083,4.831e-01
2.16,0.96,2.0611,-0.8107,4.869e-01
2.18,0.96,2.0620,-0.8132,4.907e-01
2.20,0.96,2.0629,-0.8158,4.947e-01
2.22,0.96,2.0638,-0.8184,4.988e-01
2.24,0.96,2.0647,-0.8211,5.030e-01
2.26,0.96,2.0656,-0.8238,5.073e-01
2.28,0.96,2.0665,-0.8266,5.118e-01
2.30,0.96,2.0674,-0.8295,5.164e-01
2.32,0.96,2.0684,-0.8324,5.210e-01
2.34,0.96,2.0883,-0.8329,4.599e-01
2.36,0.96,2.1478,-0.7958,3.805e-01
2.38,0.96,2.1841,-0.7889,3.292e-01
2.40,0.96,2.2019,-0.8062,2.953e-01
2.42,0.96,2.2062,-0.8416,2.726e-01
0.98,0.98,1.9805,-0.4314,3.775e-01
1.00,0.98,1.9467,-0.4439,3.776e-01
1.02,0.98,1.9446,-0.4579,3.777e-01
1.04,0.98,1.9393,-0.4471,3.778e-01
1.06,0.98,1.9326,-0.4339,3.780e-01
1.08,0.98,1.9245,-0.4188,3.783e-01
1.10,0.98,1.9152,-0.4024,3.785e-01
1.12,0.98,1.9048,-0.3850,3.789e-01
1.14,0.98,1.8932,-0.3670,3.792e-01
1.16,0.98,1.8807,-0.3488,3.796e-01
1.18,0.98,1.8673,-0.3306,3.800e-01
1.20,0.98,1.8531,-0.3128,3.805e-01
1.22,0.98,1.8381,-0.2953,3.811e-01
1.24,0.98,1.8225,-0.2784,3.816e-01
1.26,0.98,1.8063,-0.2622,3.822e-01
1.28,0.98,1.7897,-0.2466,3.829e-01
1.30,0.98,1.7725,-0.2318,3.836e-01
1.32,0.98,1.7435,-0.1771,3.843e-01
1.34,0.98,1.7293,-0.1408,3.851e-01
1.36,0.98,1.8610,0.0700,3.859e-01
1.38,0.98,1.5955,-0.3406,3.868e-01
1.40,0.98,1.5932,-1.1549,3.877e-01
1.42,0.98,2.0386,-0.7515,3.887e-01
1.44,0.98,2.0389,-0.7523,3.897e-01
1.46,0.98,2.0393,-0.7531,3.908e-01
1.48,0.98,2.0396,-0.7539,3.919e-01
1.50,0.98,2.0400,-0.7548,3.931e-01
1.52,0.98,2.0404,-0.7558,3.943e-01
1.54,0.98,2.0408,-0.7567,3.956e-01
1.56,0.98,2.0412,-0.7577,3.969e-01
1.58,0.98,2.0416,-0.7588,3.983e-01
1.60,0.98,2.0421,-0.7599,3.997e-01
1.62,0.98,2.0425,-0.7610,4.012e-01
1.64,0.98,2.0430,-0.7622,4.028e-01
1.66,0.98,2.0435,-0.7634,4.044e-01
1.68,0.98,2.0440,-0.7647,4.061e-01
1.70,0.98,2.0445,-0.7660,4.078e-01
1.72,0.98,2.0451,-0.7673,4.096e-01
1.74,0.98,2.0456,-0.7687,4.115e-01
1.76,0.98,2.0462,-0.7701,4.134e-01
1.78,0.98,2.0467,-0.7716,4.154e-01
1.80,0.98,2.0473,-0.7731,4.175e-01
1.82,0.98,2.0479,-0.7747,4.196e-01
1.84,0.98,2.0486,-0.7763,4.218e-01
1.86,0.98,2.0492,-0.7779,4.241e-01
1.88,0.98,2.0499,-0.7796,4.265e-01
1.90,0.98,2.0505,-0.7814,4.289e-01
1.92,0.98,2.0512,-0.7832,4.314e-01
1.94,0.98,2.0519,-0.7850,4.340e-01
1.96,0.98,2.0526,-0.7869,4.367e-01
1.98,0.98,2.0533,-0.7889,4.395e-01
2.00,0.98,2.0541,-0.7909,4.423e-01
2.02,0.98,2.0548,-0.7929,4.452e-01
2.04,0.98,2.0556,-0.7950,4.482e-01
2.06,0.98,2.0564,-0.7972,4.513e-01
2.08,0.98,2.0572,-0.7994,4.545e-01
2.10,0.98,2.0580,-0.8016,4.578e-01
2.12,0.98,2.0588,-0.8039,4.612e-01
2.14,0.98,2.0596,-0.8063,4.646e-01
2.16,0.98,2.0604,-0.8087,4.682e-01
2.18,0.98,2.0613,-0.8112,4.718e-01
2.20,0.98,2.0622,-0.8137,4.756e-01
2.22,0.98,2.0630,-0.8163,4.795e-01
2.24,0.98,2.0639,-0.8189,4.835e-01
2.26,0.98,2.0648,-0.8216,4.875e-01
2.28,0.98,2.0657,-0.8243,4.917e-01
2.30,0.98,2.1124,-0.8014,3.957e-01
2.32,0.98,2.1645,-0.7721,3.297e-01
2.34,0.98,2.1941,-0.7719,2.867e-01
2.36,0.98,2.2062,-0.7948,2.581e-01
2.38,0.98,2.2058,-0.8345,2.389e-01
2.40,0.98,2.1969,-0.8858,2.261e-01
2.42,0.98,2.1826,-0.9449,2.178e-01
1.00,1.00,1.9601,-0.4715,3.648e-01
1.02,1.00,1.9448,-0.4218,3.648e-01
1.04,1.00,1.9337,-0.4406,3.649e-01
1.06,1.00,1.9340,-0.4367,3.651e-01
1.08,1.00,1.9273,-0.4240,3.653e-01
1.10,1.00,1.9193,-0.4095,3.655e-01
1.12,1.00,1.9100,-0.3936,3.658e-01
1.14,1.00,1.8996,-0.3767,3.661e-01
1.16,1.00,1.8880,-0.3593,3.664e-01
1.18,1.00,1.8755,-0.3416,3.668e-01
1.20,1.00,1.8621,-0.3239,3.672e-01
1.22,1.00,1.8478,-0.3065,3.677e-01
1.24,1.00,1.8329,-0.2895,3.682e-01
1.26,1.00,1.8172,-0.2730,3.688e-01
1.28,1.00,1.8010,-0.2571,3.694e-01
1.30,1.00,1.7844,-0.2419,3.700e-01
1.32,1.00,1.7546,-0.1893,3.707e-01
1.34,1.00,1.7560,-0.1233,3.714e-01
1.36,1.00,1.8105,-0.1265,3.722e-01
1.38,1.00,1.7028,-0.0325,3.730e-01
1.40,1.00,1.4882,-1.0662,3.738e-01
1.42,1.00,1.9411,-0.8396,3.747e-01
1.44,1.00,2.0387,-0.7517,3.757e-01
1.46,1.00,2.0390,-0.7525,3.767e-01
1.48,1.00,2.0394,-0.7533,3.777e-01
1.50,1.00,2.0397,-0.7542,3.788e-01
1.52,1.00,2.0401,-0.7551,3.800e-01
1.54,1.00,2.0405,-0.7560,3.812e-01
1.56,1.00,2.0409,-0.7570,3.824e-01
1.58,1.00,2.0413,-0.7580,3.837e-01
1.60,1.00,2.0418,-0.7591,3.851e-01
1.62,1.00,2.0422,-0.7602,3.865e-01
1.64,1.00,2.0427,-0.7613,3.879e-01
1.66,1.00,2.0431,-0.7625,3.894e-01
1.68,1.00,2.0436,-0.7637,3.910e-01
1.70,1.00,2.0441,-0.7650,3.927e-01
1.72,1.00,2.0447,-0.7663,3.944e-01
1.74,1.00,2.0452,-0.7677,3.961e-01
1.76,1.00,2.0458,-0.7691,3.979e-01
1.78,1.00,2.0463,-0.7705,3.998e-01
1.80,1.00,2.0469,-0.7720,4.018e-01
1.82,1.00,2.0475,-0.7735,4.038e-01
1.84,1.00,2.0481,-0.7751,4.059e-01
1.86,1.00,2.0487,-0.7767,4.080e-01
1.88,1.00,2.0494,-0.7784,4.103e-01
1.90,1.00,2.0500,-0.7801,4.126e-01
1.92,1.00,2.0507,-0.7819,4.149e-01
1.94,1.00,2.0514,-0.7837,4.174e-01
1.96,1.00,2.0521,-0.7856,4.199e-01
1.98,1.00,2.0528,-0.7875,4.225e-01
2.00,1.00,2.0535,-0.7894,4.252e-01
2.02,1.00,2.0543,-0.7914,4.279e-01
2.04,1.00,2.0550,-0.7935,4.308e-01
2.06,1.00,2.0558,-0.7956,4.337e-01
2.08,1.00,2.0566,-0.7978,4.367e-01
2.10,1.00,2.0574,-0.8000,4.398e-01
2.12,1.00,2.0582,-0.8022,4.430e-01
2.14,1.00,2.0590,-0.8045,4.463e-01
2.16,1.00,2.0598,-0.8069,4.496e-01
2.18,1.00,2.0607,-0.8093,4.531e-01
2.20,1.00,2.0615,-0.8118,4.567e-01
2.22,1.00,2.0624,-0.8143,4.603e-01
2.24,1.00,2.0651,-0.8224,4.372e-01
2.26,1.00,2.1291,-0.7762,3.471e-01
2.28,1.00,2.1758,-0.7520,2.900e-01
2.30,1.00,2.2005,-0.7564,2.527e-01
2.32,1.00,2.2082,-0.7831,2.278e-01
2.34,1.00,2.2040,-0.8261,2.110e-01
2.36,1.00,2.1917,-0.8802,1.998e-01
2.38,1.00,2.1743,-0.9416,1.925e-01
2.40,1.00,2.1538,-1.0075,1.880e-01
2.42,1.00,2.1315,-1.0759,1.857e-01
1.02,1.02,1.9460,-0.4826,3.518e-01
1.04,1.02,1.9440,-0.3901,3.518e-01
1.06,1.02,1.9247,-0.4203,3.519e-01
1.08,1.02,1.9285,-0.4262,3.520e-01
1.10,1.02,1.9219,-0.4140,3.522e-01
1.12,1.02,1.9138,-0.4000,3.524e-01
1.14,1.02,1.9045,-0.3846,3.527e-01
1.16,1.02,1.8941,-0.3683,3.530e-01
1.18,1.02,1.8825,-0.3513,3.534e-01
1.20,1.02,1.8700,-0.3342,3.537e-01
1.22,1.02,1.8565,-0.3170,3.542e-01
1.24,1.02,1.8422,-0.3000,3.546e-01
1.26,1.02,1.8272,-0.2834,3.551e-01
1.28,1.02,1.8116,-0.2673,3.557e-01
1.30,1.02,1.7895,-0.2501,3.562e-01
1.32,1.02,1.7638,-0.2039,3.569e-01
1.34,1.02,1.7739,-0.1258,3.575e-01
1.36,1.02,1.7547,-0.2625,3.582e-01
1.38,1.02,1.8039,0.1355,3.590e-01
1.40,1.02,1.5286,-0.7779,3.598e-01
1.42,1.02,1.6672,-1.1034,3.606e-01
1.44,1.02,2.0385,-0.7512,3.615e-01
1.46,1.02,2.0388,-0.7520,3.624e-01
1.48,1.02,2.0392,-0.7528,3.634e-01
1.50,1.02,2.0395,-0.7536,3.644e-01
1.52,1.02,2.0399,-0.7545,3.655e-01
1.54,1.02,2.0402,-0.7554,3.666e-01
1.56,1.02,2.0406,-0.7563,3.678e-01
1.58,1.02,2.0410,-0.7573,3.690e-01
1.60,1.02,2.0415,-0.7584,3.703e-01
1.62,1.02,2.0419,-0.7594,3.716e-01
1.64,1.02,2.0424,-0.7606,3.729e-01
1.66,1.02,2.0428,-0.7617,3.744e-01
1.68,1.02,2.0433,-0.7629,3.759e-01
1.70,1.02,2.0438,-0.7641,3.774e-01
1.72,1.02,2.0443,-0.7654,3.790e-01
1.74,1.02,2.0448,-0.7668,3.807e-01
1.76,1.02,2.0454,-0.7681,3.824e-01
1.78,1.02,2.0459,-0.7695,3.842e-01
1.80,1.02,2.0465,-0.7710,3.860e-01
1.82,1.02,2.0471,-0.7725,3.879e-01
1.84,1.02,2.0477,-0.7740,3.899e-01
1.86,1.02,2.0483,-0.7756,3.919e-01
1.88,1.02,2.0490,-0.7773,3.940e-01
1.90,1.02,2.0496,-0.7790,3.962e-01
1.92,1.02,2.0503,-0.7807,3.984e-01
1.94,1.02,2.0509,-0.7825,4.007e-01
1.96,1.02,2.0516,-0.7843,4.031e-01
1.98,1.02,2.0523,-0.7862,4.055e-01
2.00,1.02,2.0530,-0.7881,4.081e-01
2.02,1.02,2.0538,-0.7901,4.107e-01
2.04,1.02,2.0545,-0.7921,4.134e-01
2.06,1.02,2.0553,-0.7942,4.161e-01
2.08,1.02,2.0560,-0.7963,4.190e-01
2.10,1.02,2.0568,-0.7985,4.219e-01
2.12,1.02,2.0576,-0.8007,4.249e-01
2.14,1.02,2.0584,-0.8030,4.280e-01
2.16,1.02,2.0593,-0.8053,4.312e-01
2.18,1.02,2.0601,-0.8077,4.345e-01
2.20,1.02,2.0704,-0.8117,3.904e-01
2.22,1.02,2.1400,-0.7558,3.098e-01
2.24,1.02,2.1833,-0.7342,2.586e-01
2.26,1.02,2.2046,-0.7412,2.251e-01
2.28,1.02,2.2090,-0.7704,2.027e-01
2.30,1.02,2.2016,-0.8158,1.876e-01
2.32,1.02,2.1863,-0.8722,1.774e-01
2.34,1.02,2.1661,-0.9357,1.708e-01
2.36,1.02,2.1428,-1.0036,1.667e-01
2.38,1.02,2.1177,-1.0738,1.645e-01
2.40,1.02,2.0917,-1.1447,1.638e-01
2.42,1.02,2.0655,-1.2152,1.643e-01
1.04,1.04,1.9391,-0.4748,3.385e-01
1.06,1.04,1.9399,-0.3619,3.385e-01
1.08,1.04,1.9224,-0.3926,3.386e-01
1.10,1.04,1.9226,-0.4155,3.388e-01
1.12,1.04,1.9161,-0.4039,3.389e-01
1.14,1.04,1.9081,-0.3904,3.391e-01
1.16,1.04,1.8988,-0.3755,3.394e-01
1.18,1.04,1.8883,-0.3597,3.397e-01
1.20,1.04,1.8767,-0.3432,3.400e-01
1.22,1.04,1.8641,-0.3265,3.404e-01
1.24,1.04,1.8506,-0.3098,3.408e-01
1.26,1.04,1.8363,-0.2932,3.413e-01
1.28,1.04,1.8212,-0.2771,3.417e-01
1.30,1.04,1.7929,-0.2470,3.423e-01
1.32,1.04,1.7717,-0.2215,3.428e-01
1.34,1.04,1.7876,-0.1321,3.435e-01
1.36,1.04,1.7295,-0.3150,3.441e-01
1.38,1.04,1.8675,0.1727,3.448e-01
1.40,1.04,1.6098,-0.3842,3.455e-01
